,TW,global,Thailand,Japan,Hong Kong,"Korea, South",Philippines,US,Canada,Australia,Austria,Vietnam,Germany,Netherlands,France,Malaysia,Macau,Cambodia,Russia,United Arab Emirates,United Kingdom,Turkey,Singapore,Indonesia,TPE entry
2020-02-08,0.05,0.01647290331148214,0.03723404255319149,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0001862266751089426,0.01702127659574468,0.0,0.0,0.0,0.003527336860670194,0.0,0.0,0.0021037868162692847,0.0,1.1138
2020-02-09,0.05,0.018289812031436745,0.0,0.0008613264427217916,0.0375,0.0011750881316098707,0.0,0.0,0.0,0.0,0.0,0.0,0.00014423770373575654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004908835904628331,0.0,1.203575
2020-02-10,0.0,0.01576666304492171,0.0,0.0,0.1125,0.0023501762632197414,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.00851063829787234,0.0,0.0,0.0,0.001763668430335097,0.0005725409366769724,0.0,0.0035063113604488078,0.0,1.0306
2020-02-11,0.0,0.012313932852848502,0.005319148936170213,0.0,0.1375,0.0011750881316098707,0.0,2.7633469658450315e-05,0.0,0.0,0.0,0.05263157894736842,0.0002884754074715131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001402524544179523,0.0,0.895775
2020-02-12,0.0,0.00252918522810957,0.0,0.0017226528854435831,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011450818733539448,0.0,0.0021037868162692847,0.0,0.78975
2020-02-13,0.0,0.09143095143240013,0.0,0.0,0.0375,0.0,0.0,2.7633469658450315e-05,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.00425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.005610098176718092,0.0,0.744275
2020-02-14,0.0,0.03933818647157534,0.0,0.0008613264427217916,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006311360448807854,0.0,0.701875
2020-02-15,0.0,0.012947738220274528,0.0,0.012058570198105082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.724533502178852e-05,0.01276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0035063113604488078,0.0,0.709525
2020-02-16,0.1,0.013243514058406673,0.005319148936170213,0.013781223083548665,0.0125,0.0011750881316098707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001763668430335097,0.0,0.0,0.0021037868162692847,0.0,0.723575
2020-02-17,0.1,0.0122777154032813,0.005319148936170213,0.006029285099052541,0.0375,0.0011750881316098707,0.0,0.0,0.0003599712023038157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001402524544179523,0.0,0.620525
2020-02-18,0.0,0.011336061714534062,0.0,0.0068906115417743325,0.025,0.0011750881316098707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002805049088359046,0.0,0.602575
2020-02-19,0.05,0.0030362295220503904,0.0,0.008613264427217916,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021037868162692847,0.0,0.521825
2020-02-20,0.05,0.0033682228097497375,0.0,0.008613264427217916,0.0625,0.08578143360752057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5002
2020-02-21,0.1,0.0037545422717998865,0.0,0.009474590869939707,0.0,0.11750881316098707,0.0,5.526693931690063e-05,0.0003599712023038157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007012622720897616,0.0,0.481775
2020-02-22,0.0,0.010581531515217365,0.0,0.014642549526270457,0.0125,0.2690951821386604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007054673721340388,0.0,0.0,0.0,0.0,0.490025
2020-02-23,0.1,0.002329989255489962,0.0,0.02153316106804479,0.0625,0.19858989424206816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002805049088359046,0.0,0.4923
2020-02-24,0.1,0.0036398536815037486,0.0,0.0103359173126615,0.0625,0.27144535840188017,0.0,0.0009948049077042114,0.0003599712023038157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004580327493415779,0.0,0.0,0.0,0.3699
2020-02-25,0.05,0.005100624147380875,0.010638297872340425,0.009474590869939707,0.0625,0.1692126909518214,0.0,0.0,0.0003599712023038157,0.0,0.001514004542013626,0.0,0.00014423770373575654,0.0,7.449067004357705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001402524544179523,0.0,0.354925
2020-02-26,0.05,0.005927589245831975,0.015957446808510637,0.01636520241171404,0.0875,0.3337250293772033,0.0,0.0001658008179507019,0.0,0.0,0.0,0.0,0.0014423770373575653,0.0,0.0001489813400871541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001402524544179523,0.0,0.322025
2020-02-27,0.0,0.008197216085376602,0.0,0.02153316106804479,0.0125,0.5934195064629847,0.0,2.7633469658450315e-05,0.0007199424046076314,0.0,0.000757002271006813,0.0,0.002740516370979374,0.0007429420505200594,0.0007449067004357704,0.00425531914893617,0.0,0.0,0.0,0.0,0.00022901637467078896,0.0,0.0,0.0,0.30125
2020-02-28,0.1,0.00824550601813287,0.005319148936170213,0.012058570198105082,0.025,0.6709753231492362,0.0,5.526693931690063e-05,0.0003599712023038157,0.0,0.0,0.0,0.0002884754074715131,0.0,0.0007076613654139819,0.0,0.0,0.0,0.0,0.010582010582010581,0.0005725409366769724,0.0,0.0,0.0,0.312
2020-02-29,0.25,0.011462822788019267,0.005319148936170213,0.01119724375538329,0.0125,0.9553466509988249,0.0,0.00022106775726760252,0.0021598272138228943,0.02012072434607646,0.004542013626040878,0.0,0.004471368815808452,0.003714710252600297,0.0016015494059369063,0.00851063829787234,0.0,0.0,0.0,0.003527336860670194,0.00034352456200618345,0.0,0.006311360448807854,0.0,0.345025
2020-03-01,0.05,0.01423345767991018,0.0,0.012919896640826873,0.0125,0.6886016451233843,0.0,0.0001658008179507019,0.0014398848092152627,0.004024144869215292,0.003785011355034065,0.0,0.0073561228905235825,0.0029717682020802376,0.0011173600506536557,0.01702127659574468,0.0,0.0,0.0,0.0,0.0014886064353601283,0.0,0.002805049088359046,0.0,0.4221
2020-03-02,0.05,0.011692199968611544,0.005319148936170213,0.015503875968992248,0.05,0.7038777908343126,0.0,0.0006632032718028076,0.0010799136069114472,0.006036217303822937,0.003028009084027252,0.0,0.004182893408336939,0.005943536404160475,0.0022719654363291,0.0,0.0,0.0,9.404683532399135e-05,0.0,0.0004580327493415779,0.0,0.001402524544179523,0.004132231404958678,0.31405
2020-03-03,0.05,0.01529583620054809,0.0,0.01636520241171404,0.0,1.0,0.0,0.0005526693931690063,0.0010799136069114472,0.018108651911468814,0.002271006813020439,0.0,0.005336795038222992,0.004457652303120356,0.0004841893552832508,0.029787234042553193,0.0,0.0,0.0,0.010582010582010581,0.0012595900606893393,0.0,0.001402524544179523,0.0,0.329275
2020-03-04,0.0,0.013762630835536561,0.0,0.03273040482342808,0.0625,0.5111633372502937,0.0,0.0008566375594119597,0.0010799136069114472,0.026156941649899398,0.006056018168054504,0.0,0.009519688446559932,0.010401188707280832,0.0031286081418302357,0.059574468085106386,0.0,0.0,0.0,0.0,0.004007786556738807,0.0,0.0,0.0,0.271225
2020-03-05,0.1,0.016696244250479882,0.02127659574468085,0.024978466838931956,0.0,0.5487661574618097,0.0,0.0018790759367746214,0.0014398848092152627,0.006036217303822937,0.009084027252081756,0.0,0.03173229482186644,0.03268945022288262,0.0034265708220045437,0.0,0.0,0.0,9.404683532399135e-05,0.003527336860670194,0.0034352456200618343,0.0,0.004908835904628331,0.0,0.25525
2020-03-06,0.05,0.023631885842598965,0.005319148936170213,0.05167958656330749,0.025,0.5934195064629847,0.0037174721189591076,0.001243506134630264,0.004319654427645789,0.01006036217303823,0.010598031794095382,0.0,0.027116688302322226,0.03417533432392273,0.010279712466013632,0.14042553191489363,0.0,0.0,0.0008464215179159222,0.0,0.005496392992098935,0.0,0.0091164095371669,0.004132231404958678,0.22925
2020-03-07,0.0,0.024422633491482864,0.010638297872340425,0.03531438415159346,0.0125,0.5264394829612221,0.0018587360594795538,0.003868685752183044,0.0017998560115190785,0.006036217303822937,0.018168054504163512,0.10526315789473684,0.018606663781912593,0.04457652303120357,0.011285336511601922,0.0425531914893617,0.0,0.0,0.0,0.02821869488536155,0.004923852055421962,0.0,0.005610098176718092,0.0,0.26955
2020-03-08,0.0,0.023988024096676445,0.0,0.03531438415159346,0.075,0.3207990599294947,0.007434944237918215,0.0032054824803802364,0.003599712023038157,0.026156941649899398,0.018925056775170326,0.631578947368421,0.034761286600317326,0.057206537890044575,0.006592424298856568,0.02553191489361702,0.0,0.03225806451612903,0.0003761873412959654,0.0,0.00767204855147143,0.0,0.008415147265077139,0.004132231404958678,0.2897
2020-03-09,0.0,0.022750594569797063,0.0,0.007751937984496124,0.0125,0.1927144535840188,0.01858736059479554,0.0017961755277992705,0.004679625629949604,0.030181086519114688,0.02043906131718395,0.0,0.01961632770806289,0.041604754829123326,0.003091362806808447,0.07659574468085106,0.0,0.0,0.0,0.0,0.005496392992098935,0.0,0.0,0.026859504132231406,0.22145
2020-03-10,0.1,0.030362295220503904,0.015957446808510637,0.06029285099052541,0.0625,0.041128084606345476,0.024163568773234202,0.010390184591577319,0.0007199424046076314,0.03219315895372234,0.03860711582134747,0.05263157894736842,0.040530794749747585,0.045319465081723624,0.0214160676375284,0.05106382978723404,0.0,0.0,0.00028214050597197407,0.05114638447971781,0.007099507614794458,0.0,0.0070126227208976155,0.01652892561983471,0.2159
2020-03-11,0.05,0.04379293276834112,0.031914893617021274,0.04995693367786391,0.075,0.28437132784958874,0.02973977695167286,0.008897977230021002,0.010439164866810655,0.04225352112676056,0.04844814534443603,0.3684210526315789,0.0650512043848262,0.08989598811292719,0.018585422175872474,0.0851063829787234,0.0,0.03225806451612903,0.0,0.0,0.008588114050154586,0.00019462826002335538,0.012622720897615708,0.014462809917355372,0.193625
2020-03-12,0.05,0.014951770429659677,0.05851063829787234,0.0,0.0375,0.13396004700352526,0.0055762081784386614,0.01055598540952802,0.0032397408207343412,0.0,0.04239212717638153,0.05263157894736842,0.02452040963507861,0.0,0.0,0.0,0.0,0.0,0.0007523746825919308,0.019400352733686066,0.0,0.0,0.0,0.0,0.21365
2020-03-13,0.05,0.10183743194137602,0.026595744680851064,0.053402239448751075,0.0625,0.12925969447708577,0.022304832713754646,0.014258870343760362,0.027357811375089993,0.1448692152917505,0.15291445874337622,0.42105263157894735,0.23034761286600317,0.22511144130757801,0.05169652501024247,0.20425531914893616,0.0,0.06451612903225806,0.001598796200507853,0.0,0.03927630825604031,0.0007785130400934215,0.015427769985974754,0.07231404958677685,0.196725
2020-03-14,0.15,0.06576485217244335,0.03723404255319149,0.06201550387596899,0.075,0.12573443008225618,0.08736059479553904,0.015143141372830772,0.0017998560115190785,0.1006036217303823,0.11430734292202877,0.3157894736842105,0.13125631039953845,0.11589895988112928,0.030354948042757644,0.17446808510638298,0.0,0.06451612903225806,0.0013166556945358788,0.0,0.03916180006870491,0.0,0.008415147265077139,0.05578512396694215,0.250975
2020-03-15,0.3,0.06852341458114519,0.1702127659574468,0.056847545219638244,0.0625,0.08930669800235018,0.05390334572490706,0.021333038576323644,0.019438444924406047,0.09456740442655935,0.15518546555639667,0.15789473684210525,0.1745276215202654,0.13075780089153047,0.0013408320607843868,0.8085106382978723,0.0,0.0,0.0003761873412959654,0.02292768959435626,0.00011450818733539448,0.00019462826002335538,0.009817671809256662,0.04338842975206612,0.258725
2020-03-16,0.4,0.08543696352902828,0.17553191489361702,0.0,0.125,0.08695652173913043,0.0037174721189591076,0.03130872112302421,0.05867530597552196,0.16096579476861167,0.11960635881907646,0.2631578947368421,0.21303908841771238,0.2065378900445765,0.0801147156318671,0.5872340425531914,0.16666666666666666,0.0,0.0025392645537477662,0.0,0.046490324058170156,0.0023355391202802647,0.011921458625525946,0.03512396694214876,0.231675
2020-03-17,0.5,0.09362210713121583,0.1595744680851064,0.03359173126614987,0.0875,0.09870740305522914,0.08364312267657993,0.049436277218967616,0.02267818574514039,0.15090543259557343,0.2376987130961393,0.2631578947368421,0.2863118419154767,0.21916790490341753,0.03843718574248575,0.4553191489361702,0.16666666666666666,0.8387096774193549,0.0022571240477757925,0.0,0.046833848620176345,0.0056442195406773065,0.016129032258064516,0.07851239669421488,0.234525
2020-03-18,1.15,0.10708896212862024,0.18617021276595744,0.009474590869939707,0.2375,0.10928319623971798,0.027881040892193308,0.03763678567480933,0.064434845212383,0.23340040241448692,0.2376987130961393,0.47368421052631576,0.4428097504687725,0.2578008915304606,0.05247867704570003,0.4978723404255319,0.5,0.06451612903225806,0.0031035455656917145,0.026455026455026454,0.07809458376273903,0.009926041261191124,0.03295932678821879,0.11363636363636363,0.22595
2020-03-19,0.4,0.16754192169787405,0.3191489361702128,0.030146425495262703,0.3375,0.17861339600470036,0.027881040892193308,0.1648060130429977,0.05147588192944565,0.22736418511066397,0.2778198334595004,0.5263157894736842,0.43170344728111926,0.3038632986627043,0.06875488845022161,0.46808510638297873,0.3333333333333333,0.06451612903225806,0.00489043543684755,0.047619047619047616,0.008473605862819191,0.018295056442195406,0.02244039270687237,0.17355371900826447,0.218775
2020-03-20,1.35,0.17886591092921902,0.26595744680851063,0.03359173126614987,0.6,0.10223266745005875,0.024163568773234202,0.15270255333259644,0.05147588192944565,0.22132796780684105,0.2838758516275549,0.3157894736842105,0.6531083225155055,0.39821693907875183,0.06659465901895788,0.5531914893617021,0.0,0.45161290322580644,0.0050785291074955325,0.0,0.14863162716134204,0.03250291942390035,0.028050490883590462,0.11983471074380166,0.183625
2020-03-21,0.9,0.1950732196105417,0.4734042553191489,0.03789836347975883,0.2125,0.172737955346651,0.14312267657992564,0.17483696252901515,0.12023038156947444,0.5633802816901409,0.32248296744890237,0.15789473684210525,0.3411221693350642,0.47325408618127784,0.06350329621214942,0.6510638297872341,0.16666666666666666,0.06451612903225806,0.0049844822721715415,0.02292768959435626,0.12057712126417039,0.06052938886726353,0.03295932678821879,0.16735537190082644,0.15155
2020-03-22,0.8,0.19580360484348025,1.0,0.08096468561584841,0.55,0.19036427732079905,0.13568773234200743,0.21211451309826462,0.06911447084233262,0.9617706237424547,0.5813777441332324,1.0,0.3836722919371124,0.42867756315007427,0.06629669633878357,0.5234042553191489,1.0,1.0,0.0057368569547634725,0.0,0.07763655101339746,0.11015959517321915,0.016129032258064516,0.1322314049586777,0.1399
2020-03-23,1.3,0.24907947315683363,0.648936170212766,0.023255813953488372,0.4875,0.0,0.1524163568773234,0.2920028738808445,0.2228221742260619,0.2676056338028169,0.6752460257380772,0.5263157894736842,0.6033463147266696,0.4063893016344725,0.14451189988453947,0.902127659574468,0.0,0.0967741935483871,0.006677325308003385,0.07936507936507936,0.11233253177602198,0.05702608018684313,0.037868162692847124,0.13429752066115702,0.08535
2020-03-24,1.0,0.24038728526070527,0.5638297872340425,0.05598621877691645,0.375,0.08930669800235018,0.16728624535315986,0.273377915331049,0.2526997840172786,0.7283702213279678,0.6124148372445117,0.5789473684210527,0.5668541756815232,0.6062407132243685,0.09307609221944951,0.451063829787234,0.16666666666666666,0.12903225806451613,0.005360669613467507,0.08818342151675485,0.16466277338829727,0.0667574931880109,0.034361851332398316,0.22107438016528927,0.095425
